Chia Huang 25475733
Fernando De Paz 81962579
will , occurance : 14600
married , occurance : 13890
ics , occurance : 12590
uci , occurance : 12564
can , occurance : 12540
krakow , occurance : 12429
may , occurance : 11868
computer , occurance : 11036
data , occurance : 9843
research , occurance : 9670
information , occurance : 9071
software , occurance : 8825
10 , occurance : 8489
edu , occurance : 7925
one , occurance : 7891
apr , occurance : 7568
bren , occurance : 7566
use , occurance : 7383
jan , occurance : 7318
time , occurance : 7199
4x , occurance : 7164
code , occurance : 7005
4o , occurance : 6996
5x , occurance : 6982
dec , occurance : 6815
mar , occurance : 6765
oct , occurance : 6549
science , occurance : 6403
family , occurance : 6356
student , occurance : 6306
nov , occurance : 6298
5o , occurance : 6295
feb , occurance : 6286
jul , occurance : 6194
course , occurance : 6112
jun , occurance : 6050
page , occurance : 5985
sep , occurance : 5946
school , occurance : 5933
12 , occurance : 5854
students , occurance : 5853
aug , occurance : 5849
11 , occurance : 5795
3x , occurance : 5709
systems , occurance : 5634
class , occurance : 5624
work , occurance : 5545
new , occurance : 5524
using , occurance : 5462
3o , occurance : 5392
http , occurance : 5336
15 , occurance : 5317
18 , occurance : 5297
design , occurance : 5176
project , occurance : 5141
name , occurance : 5123
also , occurance : 5032
20 , occurance : 4971
2013 , occurance : 4868
wiki , occurance : 4863
14 , occurance : 4827
irvine , occurance : 4755
file , occurance : 4741
first , occurance : 4688
pdf , occurance : 4684
university , occurance : 4564
system , occurance : 4543
30 , occurance : 4525
text , occurance : 4344
list , occurance : 4336
based , occurance : 4296
16 , occurance : 4263
program , occurance : 4247
13 , occurance : 4232
listing , occurance : 4221
25 , occurance : 4220
2014 , occurance : 4198
paper , occurance : 4070
academic , occurance : 4049
user , occurance : 4033
two , occurance : 4033
make , occurance : 3999
get , occurance : 3936
like , occurance : 3904
web , occurance : 3896
17 , occurance : 3895
line , occurance : 3882
year , occurance : 3797
conference , occurance : 3713
search , occurance : 3687
6x , occurance : 3643
22 , occurance : 3612
19 , occurance : 3605
23 , occurance : 3580
21 , occurance : 3503
ation , occurance : 3486
28 , occurance : 3471
24 , occurance : 3443
es , occurance : 3432
number , occurance : 3413
6o , occurance : 3394
group , occurance : 3388
ipe , occurance : 3368
